iter	Passed	Remaining
0	5	497
1	7	391
2	10	329
3	11	268
4	12	240
5	13	218
6	15	199
7	17	196
8	18	183
9	19	177
10	20	164
11	23	171
12	24	166
13	26	160
14	27	156
15	29	152
16	30	149
17	32	148
18	35	153
19	36	147
20	39	146
21	40	143
22	41	138
23	42	133
24	42	127
25	44	125
26	44	121
27	46	120
28	48	118
29	50	118
30	51	114
31	52	111
32	53	107
33	53	104
34	54	101
35	55	98
36	56	95
37	57	93
38	58	92
39	60	90
40	62	90
41	63	88
42	65	86
43	66	84
44	67	81
45	68	79
46	69	77
47	70	75
48	71	74
49	72	72
50	73	70
51	75	69
52	76	68
53	77	66
54	78	64
55	79	62
56	80	60
57	81	59
58	83	58
59	84	56
60	87	56
61	88	54
62	90	52
63	91	51
64	92	49
65	92	47
66	93	46
67	95	44
68	97	43
69	98	42
70	102	41
71	103	40
72	104	38
73	105	36
74	105	35
75	106	33
76	107	32
77	108	30
78	110	29
79	112	28
80	114	26
81	115	25
82	116	23
83	117	22
84	118	20
85	119	19
86	119	17
87	120	16
88	122	15
89	123	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	132	4
97	135	2
98	139	1
99	141	0
