iter	Passed	Remaining
0	1	1084
1	2	1031
2	2	956
3	3	959
4	4	941
5	5	919
6	6	909
7	7	913
8	8	916
9	9	906
10	10	910
11	12	1046
12	13	1043
13	14	1021
14	15	1012
15	16	1004
16	17	999
17	18	1007
18	19	1010
19	20	1010
20	21	1000
21	22	991
22	23	981
23	23	973
24	24	967
25	25	967
26	26	970
27	28	981
28	29	976
29	30	974
30	30	968
31	32	968
32	33	976
33	34	971
34	35	967
35	35	961
36	36	956
37	37	952
38	38	947
39	39	944
40	40	943
41	41	947
42	42	951
43	44	962
44	45	957
45	46	957
46	47	956
47	47	951
48	48	947
49	49	944
50	50	940
51	51	934
52	52	932
53	53	929
54	54	929
55	55	928
56	55	923
57	56	921
58	57	920
59	59	926
60	60	929
61	61	928
62	62	924
63	63	921
64	64	921
65	64	918
66	65	916
67	66	914
68	67	911
69	68	909
70	69	907
71	70	905
72	71	906
73	72	909
74	74	913
75	74	909
76	75	908
77	76	907
78	77	906
79	78	903
80	79	901
81	80	898
82	80	892
83	81	891
84	82	888
85	83	887
86	84	886
87	85	885
88	86	887
89	88	891
90	90	899
91	90	897
92	91	896
93	92	894
94	93	891
95	94	889
96	95	887
97	96	886
98	97	885
99	98	883
100	99	882
101	100	882
102	100	879
103	101	878
104	105	899
105	106	900
106	107	898
107	109	903
108	110	902
109	111	902
110	112	902
111	113	900
112	114	898
113	115	897
114	116	896
115	118	899
116	119	900
117	120	900
118	121	897
119	123	906
120	124	905
121	126	907
122	126	904
123	127	902
124	128	899
125	129	896
126	129	893
127	131	894
128	132	894
129	133	894
130	134	894
131	135	892
132	136	889
133	138	892
134	138	890
135	139	888
136	140	886
137	141	886
138	142	884
139	144	885
140	145	884
141	146	882
142	147	882
143	148	882
144	149	881
145	150	879
146	151	879
147	152	878
148	153	876
149	154	873
150	155	872
151	156	870
152	157	870
153	158	870
154	159	869
155	160	867
156	161	866
157	162	865
158	163	865
159	164	864
160	165	861
161	166	859
162	167	858
163	168	856
164	169	858
165	170	858
166	171	857
167	172	856
168	173	854
169	174	852
170	175	849
171	176	849
172	177	848
173	178	847
174	179	845
175	180	843
176	181	842
177	182	844
178	183	842
179	184	842
180	185	841
181	186	839
182	187	838
183	188	836
184	189	834
185	190	832
186	191	831
187	192	830
188	193	829
189	194	829
190	196	832
191	197	832
192	198	830
193	199	829
194	200	829
195	202	830
196	203	828
197	204	827
198	205	826
199	206	825
200	207	823
201	208	822
202	209	822
203	210	822
204	211	821
205	212	820
206	213	818
207	214	817
208	215	816
209	217	818
210	220	822
211	221	823
212	227	841
213	229	842
214	230	842
215	231	841
216	232	839
217	234	841
218	235	839
219	237	842
220	239	843
221	240	844
222	242	844
223	244	846
224	247	853
225	249	853
226	250	852
227	251	851
228	254	855
229	257	860
230	258	859
231	262	867
232	262	865
233	263	863
234	264	861
235	265	859
236	269	867
237	270	867
238	272	866
239	273	866
240	275	866
241	276	865
242	277	864
243	278	863
244	279	861
245	281	862
246	283	864
247	287	872
248	289	873
249	294	882
250	296	884
251	300	892
252	304	898
253	307	903
254	308	901
255	309	900
256	311	900
257	313	902
258	317	909
259	319	909
260	320	907
261	321	905
262	322	903
263	323	901
264	324	900
265	325	899
266	327	900
267	329	900
268	330	898
